Pais,Growth Manager,Marca,Sucursal,App,Mes,Visitas,Conversión,Ordenes,Ventas,Recompra,NPS,Disponibilidad,Órdenes con Demora (%),Órdenes Canceladas (%),Tiempo de Preparación
Argentina,Juanchi,MARCA B,Recoleta,Rappi,1 jul 2024,5634,0.134,755,12588530,0.5669,4.8,0.9497,,0.0013,
Argentina,Juanchi,MARCA B,Devoto,Pedidos Ya,1 nov 2024,6050,0.1243,752,15424662.5,,4.5,0.9896,0.1243,0.0026,12
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 mar 2025,5272,0.1417,747,17139851,,4.6,0.9901,0.1417,0.0104,14
Argentina,Juanchi,MARCA B,Recoleta,Pedidos Ya,1 jun 2025,7965,0.0914,728,19604919.75,,4.6,0.9809,0.0914,0,11
Argentina,Juanchi,MARCA B,Devoto,Pedidos Ya,1 sept 2024,5842,0.1241,725,13858986,,4.5,0.9938,0.1241,0.0027,14
Argentina,Juanchi,MARCA B,Devoto,Pedidos Ya,1 oct 2024,6345,0.1141,724,13943050.5,,4.5,0.9988,0.1141,0,12
Argentina,Juanchi,MARCA B,Belgrano,Rappi,1 ago 2024,6025,0.12,723,14591015,0.6833,4.05,0.9931,,0.0014,
Argentina,Juanchi,MARCA B,Devoto,Rappi,1 jul 2024,4494,0.16,719,13205955,0.6704,3.75,0.9983,,0.0028,
Argentina,Juanchi,MARCA B,Recoleta,Pedidos Ya,1 jul 2024,5957,0.1207,719,11451130,,4.6,0.9925,0.1207,0.0014,13
Argentina,Juanchi,MARCA B,Belgrano,Rappi,1 sept 2024,5659,0.126,713,15007010,0.6942,4.35,0.9938,,0,
Argentina,Juanchi,MARCA B,Devoto,Pedidos Ya,1 jun 2025,6444,0.1063,685,21667074.5,,4.6,0.9643,0.1063,0.0014,15
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 ago 2024,4409.857328,0.1542,680,13063213.8,,4.5,0.9904,0.158,0,21
